id,impressions,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason
ZmDag5pMkp8,312,0.0,0.05,0.15,0.25,0.3,0.25,0.3,0.7,"This video targets an audience interested in healthy cooking, which is more common among older age groups. The content appeals more to women who are often more engaged in dietary and health-related cooking videos."
JxjCN-5o_eo,353,0.01,0.3,0.5,0.15,0.03,0.01,0.5,0.5,"The script features a science fiction narrative with dramatic and suspenseful elements, appealing primarily to young adults and teenagers. The gender distribution is likely balanced as both males and females are drawn to elaborate, plot-driven stories with unexpected twists."
-tal4c_pHNc,249,0.1,0.25,0.35,0.2,0.05,0.05,0.55,0.45,"This video features family-friendly content with a playful and interactive theme centered around children and household activities. Such content typically appeals to younger audiences and young adults, with a slight male viewership dominance due to the focus on building and assembling activities."
HBz-OBL6fsk,78,0.05,0.15,0.45,0.25,0.08,0.02,0.3,0.7,"This video likely appeals to a younger audience, particularly those in their 20s and 30s, due to its focus on cute animals and casual, conversational style. The emphasis on pet care and cute, heartwarming moments suggests a higher interest among female viewers."
q0wLQyLDHlc,78,0.05,0.6,0.3,0.05,0.0,0.0,0.3,0.7,"This video features playful and casual conversation among characters, which is likely to appeal to teenagers and young adults. The content is light-hearted and focuses on social interactions and personal anecdotes, which tend to attract a predominantly young female audience."
bPz2ru2-I3Y,74,0.0,0.1,0.3,0.4,0.15,0.05,0.3,0.7,"This video features themes of quiet, introspective love, and emotional depth, which tend to resonate more with adult audiences, particularly those aged 20 to 40. The poetic and reflective nature of the content is likely to appeal more to women, who often engage more with emotionally expressive media."
YkMrRG223Rg,80,0.05,0.65,0.25,0.03,0.01,0.01,0.3,0.7,"This video focuses on a popular music piece by Jennie, appealing primarily to teenage and young adult K-pop fans, who are predominantly female. The content suggests a strong visual and musical appeal aligning with the interests of younger viewers, particularly those in their teens and early twenties."
B_rDLpn21cY,60,0.0,0.1,0.6,0.2,0.1,0.0,0.7,0.3,"This video predominantly features skincare tips and humor targeted towards men, who are often less likely to invest in skincare products. The humorous approach and casual language suggest a younger audience, particularly in their 20s."
bOcG7hDYGeA,55,0.05,0.2,0.3,0.25,0.15,0.05,0.4,0.6,"This video appeals to book enthusiasts who are likely to be in their teens to their thirties, interested in building a reading habit. The title suggests a calming, literary content, which typically attracts a slightly higher percentage of female viewers."
3YAMubIoxVw,45,0.0,0.2,0.5,0.2,0.05,0.05,0.3,0.7,"This video is about travel experiences and cooking, which are popular topics among young adults who enjoy lifestyle and food content. The focus on brunch spots, grocery shopping, and homemade meals is likely to attract a predominantly female audience interested in culinary adventures and home cooking."
VVUP4dxNzGM,37,0.005,0.75,0.2,0.03,0.01,0.005,0.85,0.15,"This video seems to have content that features humor and chaotic scenarios, often appealing to teenagers and young adults. The playful and reckless behavior likely attracts more male viewers interested in such light-hearted and adventurous themes."
EbJBEDmIxGs,39,0.0,0.2,0.5,0.2,0.05,0.05,0.2,0.8,"This video likely appeals to a younger audience, especially those in their 20s and 30s, who are interested in travel vlogs and lifestyle content. The focus on travel experiences, food, and personal adventures suggests a higher female viewership, as these topics often resonate more with women."
VlwQ2VaWF24,36,0.05,0.1,0.3,0.3,0.15,0.1,0.3,0.7,"This video likely attracts viewers with a strong interest in animal welfare and adoption, which is typically more popular among adults. Additionally, women tend to show more interest in animal rescue content, leading to a higher predicted female viewership."
zre7ZR-63JI,44,0.0,0.05,0.1,0.2,0.25,0.4,0.35,0.65,This video is likely to appeal to an older audience due to its nostalgic themes and traditional music elements. The predominance of female-related themes suggests a higher interest from female viewers.
iGdAgfmsfCM,43,0.0,0.3,0.6,0.1,0.0,0.0,0.9,0.1,"This video is primarily focused on gaming, specifically the game 'League of Legends', which typically attracts a younger demographic, primarily in their teens and twenties. The competitive and intense nature of the content, along with the specific gaming jargon, appeals more to male audiences."
uXqbex7kdgQ,24,0.0,0.0,0.1,0.2,0.3,0.4,0.3,0.7,"This video showcases the gathering and cooking of wild edible plants, which is likely to appeal to an older audience interested in nature and traditional food practices. The detailed and experiential style of content may attract more female viewers who enjoy cooking and foraging."
